Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-10-22,25.48,26.24,25.48,26.18,25.306337,1169900,654
2021-10-25,26.41,26.629999,26.139999,26.25,25.374001,1417200,655
2021-10-26,26.32,27.105,26.32,26.700001,25.808983,1513500,656
2021-10-27,26.799999,26.84,25.77,25.809999,24.948685,1497500,657
2021-10-28,25.82,26.450001,25.76,26.129999,25.336538,1738700,658
2021-10-29,26.030001,26.440001,26.030001,26.18,25.385019,881900,659
2021-11-01,26.540001,27,26.41,26.790001,25.976494,1346000,660
2021-11-02,26.969999,27.360001,26.51,26.52,25.714697,1372100,661
2021-11-03,26.66,27.65,26.559999,26.860001,26.044373,2071300,662
2021-11-04,26.9,27.280001,26.76,26.98,26.160727,1252900,663
2021-11-05,27.15,27.629999,26.969999,27,26.18012,1464800,664
2021-11-08,27.32,27.49,26.85,27.17,26.344955,1462700,665
2021-11-09,27.02,27.57,27.02,27.559999,26.723114,859900,666
2021-11-10,27.33,27.540001,26.809999,26.99,26.170424,849200,667
2021-11-11,26.99,27.290001,26.940001,27.15,26.325565,908900,668
2021-11-12,27.209999,27.540001,27.17,27.530001,26.694027,747700,669
2021-11-15,27.610001,27.860001,27.059999,27.190001,26.364349,621500,670
2021-11-16,27.190001,27.665001,27.059999,27.57,26.732811,773000,671
2021-11-17,27.68,28,27.559999,27.889999,27.043093,909100,672
2021-11-18,28,28.370001,27.620001,28.26,27.401857,1241800,673
2021-11-19,28.07,28.225,27.41,27.629999,26.790989,1281100,674
2021-11-22,27.799999,28.469999,27.5,28.280001,27.421251,1588600,675
2021-11-23,28.139999,28.620001,27.712999,27.93,27.081881,1503500,676
2021-11-24,27.49,28.299999,27.358,28.190001,27.333984,1229100,677
2021-11-26,27.190001,27.5,26.26,27.200001,26.374046,1645800,678
2021-11-29,27.299999,27.6,26.48,26.51,25.704998,2016800,679
2021-11-30,26.290001,26.389999,25.518999,25.57,24.793541,1759000,680
2021-12-01,26.110001,26.73,24.629999,24.629999,23.882086,1962400,681
2021-12-02,24.940001,25.52,24.809999,25.379999,24.60931,1134500,682
2021-12-03,25.58,25.83,24.91,25.200001,24.434778,1025900,683
2021-12-06,25.57,26.27,25.299999,25.49,24.715971,1240500,684
2021-12-07,25.98,26.290001,25.674999,25.709999,24.929291,1066100,685
2021-12-08,25.6,26.07,25.43,25.98,25.191093,1323200,686
2021-12-09,25.780001,26.059999,25.5,25.51,24.735365,715000,687
2021-12-10,25.620001,25.83,25.09,25.27,24.502653,919300,688
2021-12-13,25.18,25.188999,24.200001,24.540001,23.794819,1351100,689
2021-12-14,24.59,25.049999,24.23,24.389999,23.649374,1655000,690
2021-12-15,24.280001,24.52,23.719999,24.4,23.659071,1099200,691
2021-12-16,24.52,24.889999,24.1,24.18,23.445751,1058400,692
2021-12-17,24,24.450001,23.82,23.959999,23.23243,1471300,693
2021-12-20,23.620001,23.709999,22.52,23.040001,22.34037,2057200,694
2021-12-21,23.360001,24.209999,23.360001,24.030001,23.300306,1239600,695
2021-12-22,24,24.35,23.91,24.16,23.426359,909800,696
2021-12-23,24.34,24.66,24.25,24.620001,23.872391,648200,697
2021-12-27,24.52,24.99,24.52,24.870001,24.114799,857800,698
2021-12-28,24.85,25.139999,24.58,24.610001,23.862694,738600,699
2021-12-29,24.690001,25.24,24.610001,25.030001,24.269941,916400,700
2021-12-30,25.15,25.370001,25.025,25.040001,24.279638,1235200,701
2021-12-31,24.92,25.23,24.77,25.030001,24.269941,1382400,702
2022-01-03,25.209999,25.25,24.6,24.65,23.90148,1010300,703
2022-01-04,24.82,25.040001,24.450001,24.5,23.756035,3404000,704
2022-01-05,24.6,24.764999,23.530001,23.75,23.028809,1844000,705
2022-01-06,23.790001,24.07,23.35,23.75,23.028809,2484900,706
2022-01-07,23.58,23.82,22.889999,23.27,22.563385,1886200,707
2022-01-10,23.030001,23.15,22.48,22.83,22.136747,1775800,708
2022-01-11,22.92,23.290001,22.549999,23.09,22.388849,1792200,709
2022-01-12,23.290001,23.309999,22.719999,22.76,22.068872,904200,710
2022-01-13,22.940001,23.530001,22.84,23.24,22.534296,1254000,711
2022-01-14,22.969999,23.181999,22.76,23.1,22.398544,1539900,712
2022-01-18,22.99,22.99,22.129999,22.25,21.574358,1698100,713
2022-01-19,22.5,22.82,22.15,22.15,21.477394,987000,714
2022-01-20,22.32,22.450001,21.26,21.27,20.624117,1405700,715
2022-01-21,21.02,21.924999,21.01,21.35,20.701689,1427800,716
2022-01-24,20.76,21.790001,20.4,21.790001,21.128328,2558600,717
2022-01-25,21.209999,21.620001,20.68,21,20.362314,1932100,718
2022-01-26,21.41,21.59,20.18,20.32,19.702965,2921800,719
2022-01-27,22.290001,23.799999,21.84,22.02,21.351343,7412500,720
2022-01-28,21.809999,21.945,21.280001,21.92,21.254377,3164800,721
2022-01-31,21.719999,21.950001,21.26,21.93,21.264074,2189200,722
2022-02-01,22.219999,23.01,21.870001,22.959999,22.262796,1753900,723
2022-02-02,23.120001,23.32,22.669001,23.18,22.476116,1550200,724
2022-02-03,22.875,23.360001,22.25,22.34,21.661625,1466400,725
2022-02-04,22.32,22.629999,21.995001,22.48,21.797373,1621700,726
2022-02-07,22.48,22.773001,22.389999,22.66,21.971907,1196800,727
2022-02-08,22.504999,23.469999,22.370001,23.42,22.80949,1217100,728
2022-02-09,23.59,24.075001,23.51,23.860001,23.23802,1042200,729
2022-02-10,23.24,24.219999,23.221001,23.440001,22.828966,1575100,730
2022-02-11,23.280001,23.445,22.26,22.530001,21.94269,1347400,731
2022-02-14,22.57,22.85,22.065001,22.209999,21.631029,944400,732
2022-02-15,22.450001,22.879999,22.434999,22.68,22.088779,827800,733
2022-02-16,22.690001,22.83,22.423,22.719999,22.127735,878300,734
2022-02-17,22.49,22.719999,21.76,21.76,21.192762,1451800,735
2022-02-18,21.66,22.360001,21.66,22.02,21.445986,1142400,736
2022-02-22,21.58,22.49,21.5,21.950001,21.377808,901800,737
2022-02-23,22.08,22.08,21.49,21.629999,21.066151,974900,738
2022-02-24,21.040001,22.139999,20.790001,22.09,21.514162,1105300,739
